claimamt,vehage,CC,Length,Weight
96444.0,0,1405,3675,980
66000.0,2,1086,3565,868
108000.0,2,1948,4505,1820
44702.4,1,796,3370,750
37980.0,6,998,3565,854
52312.8,1,796,3335,665
54000.0,3,993,3495,875
91827.68400000001,0,1405,3675,980
33063.6,6,1405,3675,980
24000.0,8,1405,3675,980
64560.0,2,1405,3675,980
56400.0,1,796,3495,740
36000.0,8,2956,4505,1820
90960.0,1,1405,3675,980
54000.0,5,1086,3565,854
36000.0,7,2498,4260,1615
43200.0,4,993,3495,875
24000.0,11,1948,4505,1820
91199.95199999999,3,2609,4325,1880
25920.0,6,1405,3675,980
62400.0,4,1405,4150,1070
33600.0,7,993,3495,875
64800.108,1,1086,3565,868
33576.0,3,796,3495,725
34200.0,8,993,3495,875
92388.79199999999,0,1405,3675,980
28800.0,6,1242,3827,990
37055.928,2,796,3335,665
59999.904,3,1405,3675,980
40800.0,5,1086,3565,854
38879.904,2,796,3335,665
88529.664,0,1405,3675,980
57600.0,2,796,3495,740
55579.2,2,1086,3565,854
42000.0,6,1298,4095,875
46896.0,4,1405,3675,980
44400.192,1,796,3370,750
96000.0,5,1493,4420,1100
76778.88,1,1086,3565,854
96000.0,4,2609,4325,1880
52872.0,0,796,3370,750
29735.52,6,796,3335,665
95999.90400000001,3,1405,4150,1070
24000.0,10,1948,4505,1820
81041.52,1,1086,3565,854
32872.56,7,1405,3675,980
33600.0,3,796,3370,750
36720.0,3,796,3495,725
45024.0,2,796,3495,740
27600.0,8,993,3495,875
24000.0,4,796,3370,750
47964.0,0,796,3335,665
47991.6,1,796,3495,740
102523.68,3,1497,4420,1100
79200.0,1,1086,3565,854
41040.0,2,796,3495,725
76800.024,2,1405,3675,980
43200.0,7,1405,3675,980
52791.6,10,1493,4420,1100
33600.0,6,1086,3565,854
24000.0,6,1800,4505,1820
38976.144,4,796,3495,740
82489.716,0,1086,3565,854
38400.0,6,1298,4095,875
35723.28,6,1061,3495,740
38400.0,8,1948,4505,1820
86243.964,1,1108,3827,990
84000.0,2,1948,4505,1820
36000.0,4,1405,3675,980
58320.0,3,1086,3565,854
66567.6,3,2523,4260,1615
66000.072,2,1405,3675,980
45600.0,5,1086,3565,854
42245.04,1,796,3335,665
97200.0,4,1598,4540,1230
52800.0,5,1086,3565,854
52038.72,3,1061,3520,825
60960.0,2,1061,3520,825
51600.0,2,796,3370,750
72000.0,2,1405,3675,980
83088.0,0,1405,3675,980
31200.0,7,993,3495,875
36000.0,10,993,3495,875
94863.12,4,1497,4420,1100
43200.0,5,993,3495,875
39600.0,4,1517,4090,930
31200.0,7,998,3565,854
48000.0,4,993,3495,875
48000.12,2,796,3495,740
62399.904,2,1061,3520,825
66000.0,5,1495,4250,1023
66000.0,1,1405,3675,980
